term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,n_obs,n_authors,n_clusters,cond,meaningful
k+1:AUTHOR_MISCONDUCT,-0.11519821807528466,0.1250569362556758,-0.9211661625850546,0.35696368153870783,-0.3603098131364092,0.12991337698583988,1,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k+2:AUTHOR_MISCONDUCT,-0.05501681321735066,0.15252429071527834,-0.36070853343650155,0.7183173448460252,-0.3539644230192962,0.2439307965845949,2,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k+3:AUTHOR_MISCONDUCT,0.17469150503437605,0.19353425924412837,0.9026386631320729,0.36671769969023593,-0.20463564308411555,0.5540186531528677,3,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k+4:AUTHOR_MISCONDUCT,0.6045571447093689,0.282541839689857,2.139708389288413,0.03237834064995049,0.05077513891724916,1.1583391505014888,4,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k+5:AUTHOR_MISCONDUCT,0.8288354170844265,0.3101761851388687,2.6721439517136023,0.0075368309009520296,0.22089009421224393,1.436780739956609,5,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k+6:AUTHOR_MISCONDUCT,1.2623209775081292,0.37997371658098233,3.322127090438098,0.0008933399400321562,0.5175724930094039,2.0070694620068545,6,AUTHOR_MISCONDUCT,publications_active_only,367028,36374,3196,22.937658841376475,
k-6:EDITORIAL_COMPROMISE,-1.9427711546837523,1.003015191577479,-1.9369309368368433,0.052753786153984183,-3.908680930175611,0.02313862080810658,-6,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k-5:EDITORIAL_COMPROMISE,-1.9719361038836607,0.8997067210903902,-2.191754332449349,0.028397250236623872,-3.735361277220825,-0.20851093054649605,-5,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k-4:EDITORIAL_COMPROMISE,-1.2200551463203952,0.5157374336002987,-2.365651718944158,0.01799836705574931,-2.2309005161769804,-0.2092097764638099,-4,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k-3:EDITORIAL_COMPROMISE,-0.7971561205196709,0.1443370770393923,-5.522878368266471,3.334906084617728e-08,-1.0800567915168797,-0.514255449522462,-3,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k+0:EDITORIAL_COMPROMISE,0.8417406070820622,0.2911418729351532,2.891169856798803,0.003838106168019051,0.2711025361291619,1.4123786780349625,0,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k+1:EDITORIAL_COMPROMISE,0.09806765529287889,0.28977378713955976,0.338428317691993,0.7350404373275528,-0.46988896750065823,0.666024278086416,1,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k+2:EDITORIAL_COMPROMISE,0.298199462956778,0.23807198376677088,1.2525600796812426,0.2103658506877677,-0.16842162522609289,0.7648205511396489,2,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k+3:EDITORIAL_COMPROMISE,0.584567462731626,0.31195992692043456,1.8738543392488998,0.06095050437382388,-0.02687399403242574,1.1960089194956778,3,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k+4:EDITORIAL_COMPROMISE,0.5163315631028903,0.46303152234065625,1.1151110414530714,0.26480284052147995,-0.39121022068479594,1.4238733468905767,4,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k+5:EDITORIAL_COMPROMISE,0.5572657193851166,0.5112452350400128,1.0900164562736745,0.27570589511529775,-0.4447749412933085,1.5593063800635418,5,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k+6:EDITORIAL_COMPROMISE,0.8950782838912836,0.6598064497280365,1.3565770450716617,0.17491563958974155,-0.39814235757566774,2.188298925358235,6,EDITORIAL_COMPROMISE,publications_active_only,367028,36374,3196,22.937658841376475,
k-6:HONEST_ERROR,-0.5992308313535022,0.7764329700326977,-0.7717740674101808,0.4402482535092651,-2.1210394526175897,0.9225777899105854,-6,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
k-5:HONEST_ERROR,-1.2337946454960105,0.18154920972126073,-6.795924076950273,1.0762057911506417e-11,-1.5896310965496814,-0.8779581944423395,-5,HONEST_ERROR,publications_active_only,367028,36374,3196,22.937658841376475,
