term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,spec,n_obs,n_authors,n_clusters,cond,career_band,subject_group,lag_band,income_group,meaningful
k-5:EDITORIAL_COMPROMISE,-0.10179640718562874,0.021187413785240604,-4.80456974208628,1.5508463757640811e-06,-0.14332373820470032,-0.060269076166557155,-5,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-4:EDITORIAL_COMPROMISE,-0.06886227544910173,0.022309330659271136,-3.0867028913072514,0.002023897752079229,-0.11258856354127315,-0.025135987356930303,-4,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-3:EDITORIAL_COMPROMISE,-0.02994011976047894,0.024768624946640047,-1.2087921644814774,0.22674270263613439,-0.07848662465589343,0.01860638513493555,-3,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+0:EDITORIAL_COMPROMISE,0.03592814371257494,0.01999989132081512,1.7964169472852238,0.07242823054581216,-0.003271643276222695,0.07512793070137258,0,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+1:EDITORIAL_COMPROMISE,-0.04491017964071843,0.02380002127860788,-1.8869806507729867,0.059162928208559284,-0.09155822134678987,0.0017378620653530144,1,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+2:EDITORIAL_COMPROMISE,-0.06886227544910167,0.020624363710100128,-3.338879997319799,0.0008411689391032429,-0.10928602832089793,-0.028438522577305426,2,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+3:EDITORIAL_COMPROMISE,-0.08383233532934119,0.021039126361897902,-3.984592035207436,6.759615525586682e-05,-0.12506902299866107,-0.0425956476600213,3,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+4:EDITORIAL_COMPROMISE,-0.08982035928143697,0.02593505818604199,-3.4632796517023996,0.0005336334663914588,-0.1406530733260793,-0.03898764523679467,4,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+5:EDITORIAL_COMPROMISE,-0.08083832335329329,0.019671576425499812,-4.109397315433471,3.9669305701206525e-05,-0.11939461314727293,-0.042282033559313655,5,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+6:EDITORIAL_COMPROMISE,-0.10479041916167647,0.01890782823686656,-5.5421710970145,2.9874418272513026e-08,-0.14184976250593492,-0.06773107581741802,6,EDITORIAL_COMPROMISE,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-6:HONEST_ERROR,-0.1612665684830641,0.016512211646833305,-9.766503236045404,0.0,-0.19363050331085735,-0.12890263365527083,-6,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-5:HONEST_ERROR,-0.1450662739322539,0.018894901050820395,-7.67753551829028,1.6209256159527285e-14,-0.18210027999186187,-0.10803226787264594,-5,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-4:HONEST_ERROR,-0.08615611192930865,0.01662592466167982,-5.182034303805378,2.194788357723354e-07,-0.11874292426620109,-0.05356929959241621,-4,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k-3:HONEST_ERROR,-0.04050073637702583,0.01841753788223486,-2.1990309799276657,0.027875719536782473,-0.07659911062620615,-0.004402362127845505,-3,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+0:HONEST_ERROR,0.06553755522827606,0.019853142361092813,3.301117477337656,0.0009630055118683423,0.026625396200534147,0.10444971425601798,0,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+1:HONEST_ERROR,-0.04197349042709946,0.015115857266390503,-2.776785311437534,0.00548994281195192,-0.07160057066922484,-0.012346410184974076,1,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+2:HONEST_ERROR,-0.06553755522827767,0.014001399235567407,-4.680786121846611,2.857769594521997e-06,-0.0929802977299898,-0.03809481272656555,2,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+3:HONEST_ERROR,-0.08615611192930862,0.015578256964792644,-5.5305360621553605,3.192536546237079e-08,-0.1166894955803022,-0.05562272827831504,3,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
k+4:HONEST_ERROR,-0.08026509572901402,0.015863281419669605,-5.059804059801252,4.196875282858059e-07,-0.11135712731156645,-0.049173064146461595,4,HONEST_ERROR,active,active ~ arm | subject_group=PHY,28951,2227,417,23.625748502994124,,PHY,,,1.0
