author_id,first_retraction_year,matched_arm,career_band,income_group,first_category,first_position,n_retractions,source_id,last_country,works_count,first_pub_year
A5109461667,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4210234597,RU,111,1982
A5062540171,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S4306401293,ES,10,2003
A5106300467,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S24807848,US,207,2007
A5011342074,2015,UNCONFIRMED_CONCERNS,veteran (20y+),higher,CONTROL,,0,S10623703,US,351,1971
A5030504899,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S15111687,GB,21,2009
A5003592984,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S4210208846,CN,120,2001
A5103171964,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S2485537415,CN,107,2003
A5037028089,2015,HONEST_ERROR,early (<5y),higher,CONTROL,,0,S105243760,US,63,2011
A5021021886,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S175814247,IT,7,2002
A5110944700,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S195663288,CO,97,2004
A5079805340,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S166338752,,8,2005
A5001498281,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S11564597,DE,607,1970
A5101968925,2015,AUTHOR_MISCONDUCT,veteran (20y+),lower,CONTROL,,0,S4210172589,IN,60,1980
A5026151425,2015,AUTHOR_MISCONDUCT,veteran (20y+),lower,CONTROL,,0,S4306525036,,30,1986
A5036045653,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S30970080,US,16,1993
A5001362973,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S2764905038,CH,121,1984
A5056658001,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S115443242,KR,36,1998
A5090011844,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S138354367,ES,67,1994
A5032871340,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S4210209777,IR,69,2002
A5100649367,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S185347631,CN,365,1994
A5080218121,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S4306525036,FR,13,2004
A5070156354,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S76304953,ES,136,1988
A5113479600,2015,UNCONFIRMED_CONCERNS,veteran (20y+),higher,CONTROL,,0,S4306525036,NL,63,1981
A5028445069,2015,HONEST_ERROR,mid (5-10y),higher,CONTROL,,0,S202381698,JP,18,2006
A5076662413,2015,AUTHOR_MISCONDUCT,veteran (20y+),lower,CONTROL,,0,S98455728,IN,108,1990
A5015836763,2015,UNCONFIRMED_CONCERNS,mid (5-10y),higher,CONTROL,,0,S164001016,ES,58,2010
A5110845408,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,CN,119,1991
A5021084458,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S133947007,KR,54,1995
A5111631972,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S124203677,KR,81,1996
A5048171074,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S55737203,FR,183,1995
A5100346999,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S86852077,,80,2004
A5100356805,2015,UNCONFIRMED_CONCERNS,senior (10-20y),higher,CONTROL,,0,S201441698,CN,35,2005
A5076294370,2015,AUTHOR_MISCONDUCT,early (<5y),higher,CONTROL,,0,S202381698,US,31,2011
A5057310784,2015,EDITORIAL_COMPROMISE,veteran (20y+),higher,CONTROL,,0,S30525748,US,594,1982
A5109295933,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4210203174,UA,121,1965
A5068293412,2015,UNCONFIRMED_CONCERNS,veteran (20y+),higher,CONTROL,,0,S137773608,CA,237,1977
A5113770634,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,US,83,1945
A5010831305,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S4306525036,CN,10,2003
A5079862023,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S131700781,ES,8,2005
A5103011712,2015,EDITORIAL_COMPROMISE,veteran (20y+),higher,CONTROL,,0,S202381698,US,225,1986
A5100645179,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S50372074,CN,119,1980
A5022014133,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S42323631,,136,1993
A5077632827,2015,AUTHOR_MISCONDUCT,mid (5-10y),,CONTROL,,0,S4210197683,,35,2006
A5070503137,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S98455728,US,32,1988
A5089409625,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S106296714,VN,312,1985
A5101407907,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S2597401208,CN,70,1999
A5101552070,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S82336448,CN,159,1996
A5042682756,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S4306401271,ES,31,2008
A5000007350,2015,AUTHOR_MISCONDUCT,early (<5y),higher,CONTROL,,0,S4306525036,RU,7,2012
A5009844544,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S25155249,BR,62,1997
A5033862304,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,JP,131,1984
A5027091250,2015,AUTHOR_MISCONDUCT,early (<5y),higher,CONTROL,,0,S137773608,GB,11,2012
A5021085419,2015,EDITORIAL_COMPROMISE,mid (5-10y),higher,CONTROL,,0,S126644158,US,71,2006
A5006428172,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S4306400562,CN,89,2003
A5057582263,2015,UNCONFIRMED_CONCERNS,veteran (20y+),higher,CONTROL,,0,S116251202,GB,518,1903
A5054739250,2015,AUTHOR_MISCONDUCT,mid (5-10y),lower,CONTROL,,0,S4306463230,GH,271,2009
A5006444360,2015,EDITORIAL_COMPROMISE,veteran (20y+),higher,CONTROL,,0,S140963590,ZA,668,1995
A5083281676,2015,EDITORIAL_COMPROMISE,early (<5y),higher,CONTROL,,0,S125166392,IT,70,2011
A5073907487,2015,EDITORIAL_COMPROMISE,veteran (20y+),higher,CONTROL,,0,S4306525036,JP,790,1987
A5034249062,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S4210172589,,103,2004
A5100455078,2015,HONEST_ERROR,mid (5-10y),higher,CONTROL,,0,S126644158,,24,2009
A5052153161,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S4306525036,RU,28,2002
A5063520767,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S129135363,US,24,2010
