openalex_id,doi,pub_year,n_authors,source_id,retraction_date,retraction_year,category,rw_journal,rw_publisher
W2285027200,10.1186/s13578-016-0072-z,2016,14,S14303005,2022-08-22,2022.0,AUTHOR_MISCONDUCT,Cell & Bioscience,Springer - Biomed Central (BMC)
W3168114254,10.1088/1742-6596/1916/1/012146,2021,4,S4210187594,2022-02-23,2022.0,AUTHOR_MISCONDUCT,Journal of Physics: Conference Series,IOP Publishing
W2329271652,10.1007/s00348-016-2115-y,2016,3,S138356703,2016-06-23,2016.0,AUTHOR_MISCONDUCT,Experiments in Fluids,Springer
W3023399644,10.1007/s00521-020-04912-9,2020,3,S147897268,2022-12-14,2022.0,EDITORIAL_COMPROMISE,Neural Computing and Applications,Springer
W1582596508,10.1007/s13277-015-4140-5,2015,7,S12644804,2016-11-05,2016.0,AUTHOR_MISCONDUCT,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer - Nature Publishing Group
W1913480189,10.1007/s10529-015-1959-1,2015,3,S113993733,2016-02-01,2016.0,AUTHOR_MISCONDUCT,Biotechnology Letters,Springer
W1854185232,10.1007/s00586-015-3999-6,2015,5,S100227592,2021-10-08,2021.0,AUTHOR_MISCONDUCT,European Spine Journal,Springer
W1968227714,10.1007/s11852-014-0356-6,2014,3,S191597982,2019-11-08,2019.0,AUTHOR_MISCONDUCT,Journal of Coastal Conservation,Springer
W1970637904,10.1007/s10856-014-5371-5,2015,2,S166781098,2016-10-05,2016.0,AUTHOR_MISCONDUCT,Journal of Materials Science. Materials in Medicine,Springer
W1903363054,10.1007/s11664-015-3696-6,2015,2,S127985767,2015-08-19,2015.0,UNCLASSIFIED,Journal of Electronic Materials,Springer
W1993181007,10.1371/journal.pone.0092304,2014,5,S202381698,2019-07-05,2019.0,HONEST_ERROR,PLoS One,PLoS
W1979531728,10.1007/s13277-015-3434-y,2015,6,S12644804,2017-04-20,2017.0,EDITORIAL_COMPROMISE,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer
W2794057489,10.1007/s11042-018-5665-6,2018,4,S110206669,2020-04-01,2020.0,AUTHOR_MISCONDUCT,Multimedia Tools and Applications,Springer
W2137115308,10.1007/s00521-012-0996-0,2012,2,S147897268,2020-10-09,2020.0,AUTHOR_MISCONDUCT,Neural Computing and Applications,Springer
W2097015593,10.1557/jmr.2000.0316,2000,6,S19730638,2018-03-25,2018.0,AUTHOR_MISCONDUCT,Journal of Materials Research,Cambridge University Press
W2093466189,10.1111/cbdd.12573,2015,7,S123587420,2018-08-16,2018.0,HONEST_ERROR,Chemical Biology & Drug Design,Wiley
W2903779477,10.1007/s10943-018-00741-2,2018,5,S67703274,2018-12-17,2018.0,AUTHOR_MISCONDUCT,Journal of Religion and Health,Springer
W2078702894,10.1007/s12517-011-0422-4,2011,4,S38407038,2017-09-16,2017.0,AUTHOR_MISCONDUCT,Arabian Journal of Geosciences,Springer
W2599800969,10.1016/j.rvsc.2017.03.019,2017,6,S196403249,2021-07-14,2021.0,ETHICS_VIOLATION,Research in Veterinary Science,Elsevier
W755881487,10.1007/s13277-015-3684-8,2015,6,S12644804,2017-04-20,2017.0,EDITORIAL_COMPROMISE,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer
W2747128909,10.1007/s11042-017-5045-7,2017,8,S110206669,2022-09-20,2022.0,EDITORIAL_COMPROMISE,Multimedia Tools and Applications,Springer
W2969675551,10.1186/s12870-019-1948-y,2019,6,S6444338,2020-12-21,2020.0,AUTHOR_MISCONDUCT,BMC Plant Biology,Springer - Biomed Central (BMC)
W2976966352,10.1134/s003809461905006x,2019,2,S138162688,2020-02-18,2020.0,AUTHOR_MISCONDUCT,Solar System Research,Springer
W2800749481,10.1186/s13068-017-0920-z,2017,4,S137860580,2018-04-06,2018.0,UNCONFIRMED_CONCERNS,Biotechnology for Biofuels,Springer - Biomed Central (BMC)
W2972026935,10.1038/s41598-019-49122-z,2019,3,S196734849,2021-05-11,2021.0,ETHICS_VIOLATION,Scientific Reports,Springer - Nature Publishing Group
W2884081565,10.1007/s11042-018-6391-9,2018,3,S110206669,2022-09-20,2022.0,EDITORIAL_COMPROMISE,Multimedia Tools and Applications,Springer
W2883739712,10.1016/j.fsi.2018.07.054,2018,7,S185787987,2019-12-29,2019.0,HONEST_ERROR,Fish & Shellfish Immunology,Elsevier
W2791001705,10.1007/s10586-018-2296-7,2018,2,S106148199,2022-11-30,2022.0,EDITORIAL_COMPROMISE,Cluster Computing,Springer
W2897937184,10.1007/s11042-018-6688-8,2018,3,S110206669,2022-09-13,2022.0,EDITORIAL_COMPROMISE,Multimedia Tools and Applications,Springer - Nature Publishing Group
W4211123634,10.1007/s13204-021-02275-8,2022,2,S2764818521,2022-12-15,2022.0,EDITORIAL_COMPROMISE,Applied Nanoscience,Springer
