treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5075868044,A5050036737,2017,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,4,4,4,4,0,0,0.8472978603872036,0.8472978603872036,0.0
A5019605351,A5101287218,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),higher,0,0,0,0,0,0,0.0,0.0,0.0
A5041822106,A5058251799,2017,EDITORIAL_COMPROMISE,first,veteran (20y+),higher,44,44,20,20,24,24,0.09097177820572688,0.09097177820572688,0.0
A5030668535,A5100385896,2017,HONEST_ERROR,middle,senior (10-20y),higher,7,7,5,5,2,2,0.5753641449035618,0.5753641449035618,0.0
A5110918706,A5011258481,2017,AUTHOR_MISCONDUCT,middle,early (<5y),higher,2,2,1,1,1,1,0.06453852113757114,0.06453852113757114,0.0
A5025801801,A5087384616,2017,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,52,52,16,16,36,36,-0.4567584024957152,-0.4567584024957152,0.0
A5100715213,A5060617430,2017,EDITORIAL_COMPROMISE,first,senior (10-20y),higher,97,97,56,56,41,41,0.5585570265871804,0.5585570265871804,0.0
A5083088562,A5046000498,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,46,46,32,32,14,14,0.9526583760450298,0.9526583760450298,0.0
A5065057396,A5000030693,2017,AUTHOR_MISCONDUCT,last,mid (5-10y),higher,3,3,1,1,2,2,-0.11778303565638348,-0.11778303565638348,0.0
A5100363356,A5021471466,2017,HONEST_ERROR,middle,senior (10-20y),higher,43,43,22,22,21,21,0.2876820724517808,0.2876820724517808,0.0
A5101759366,A5021977914,2017,UNCONFIRMED_CONCERNS,middle,mid (5-10y),higher,2,2,2,2,0,0,0.5108256237659907,0.5108256237659907,0.0
A5008048868,A5026783306,2017,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,59,59,32,32,27,27,0.4090429294560485,0.4090429294560485,0.0
A5112770532,A5108549503,2017,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,1,1,0,0,1,1,-0.22314355131420976,-0.22314355131420976,0.0
A5084862427,A5022057512,2017,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,61,61,31,31,30,30,0.2876820724517808,0.2876820724517808,0.0
A5013484913,A5033178288,2017,EDITORIAL_COMPROMISE,middle,veteran (20y+),higher,14,14,12,12,2,2,1.203972804325936,1.203972804325936,0.0
A5107925418,A5004964216,2017,HONEST_ERROR,middle,mid (5-10y),higher,10,10,6,6,4,4,0.4054651081081643,0.4054651081081643,0.0
A5102523160,A5100326506,2017,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,9,9,2,2,7,7,-0.5007752879124892,-0.5007752879124892,0.0
A5100695940,A5075816776,2017,AUTHOR_MISCONDUCT,first,senior (10-20y),lower,102,99,51,51,51,48,0.26933293378358414,0.3254224004346278,0.11217893330208728
A5058342195,A5088047448,2017,HONEST_ERROR,middle,veteran (20y+),higher,46,46,19,19,27,27,-0.055262678675049415,-0.055262678675049415,0.0
A5069516901,A5020368899,2017,UNCONFIRMED_CONCERNS,last,senior (10-20y),higher,4,4,4,4,0,0,0.8472978603872036,0.8472978603872036,0.0
A5021910778,A5024496855,2017,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,6,6,2,2,4,4,-0.18232155679395456,-0.18232155679395456,0.0
